RR,dt,ROA,code,OIGR,ROE,name,PER,N,PBR,m30_5,m30_6
1215.5,20230501,4.75,000020,32.98,5.73,동화약품,11.48,547,0.64,1.009443470480034,1.1629029326963167
-56.6,20230501,-8.19,000040,-131.11,-19.06,KR모터스,-9.71,993,1.94,1.3903963127640322,1.001951430290342
5633.7,20230501,0.35,000050,-40.71,0.59,경방,65.59,484,0.35,0.9862014263185367,0.9803316329515693
3792.7,20230501,2.35,000070,-62.38,4.01,삼양홀딩스,9.44,284,0.33,1.0057530500681675,0.9551808866785463
240.2,20230501,2.49,000080,9.45,7.72,하이트진로,18.22,166,1.34,0.9947888411946048,1.0204488028705263
2712.5,20230501,3.67,000100,-25.86,4.86,유한양행,47.1,78,2.08,1.1414123619528858,1.0357530550948295
2849.0,20230501,2.11,000120,19.75,5.09,CJ대한통운,9.69,155,0.43,0.9665816834203745,1.0592512441714628
1028.0,20230501,1.76,000140,7.48,5.62,하이트진로홀딩스,7.21,578,0.36,0.9888697317742304,1.0504110649303342
1837.8,20230501,-2.22,000150,22.25,-36.0,두산,-2.87,167,0.93,0.9550967934668102,1.0610162192635622
688.0,20230501,-1.72,000180,-209.7,-2.33,성창기업지주,-10.32,729,0.21,1.0077853515892667,1.0267068329216353
5332.6,20230501,0.87,000210,26.51,1.52,DL,18.45,217,0.28,0.9294016162234267,0.9261149100090805
446.5,20230501,-2.28,000220,-149.34,-4.97,유유제약,-19.9,816,0.97,1.0175290610474963,0.9522427700183776
-25.6,20230501,-21.81,000230,-18.79,-314.25,일동홀딩스,-1.43,705,12.11,0.9928543743227604,0.9083549395578636
8071.9,20230501,3.96,000240,7.42,4.37,한국앤컴퍼니,7.21,191,0.31,1.057008376558295,0.9558077501952201
1428.1,20230501,2.46,000250,179.94,3.36,삼천당제약,293.75,23,9.55,0.9537318536044439,0.8583969240154504
1779.0,20230501,7.7,000270,42.79,14.57,기아,6.33,9,0.86,1.046853750520822,1.0012275958943428
-10.5,20230501,-4.27,000300,180.82,-46.38,대유플러스,-3.05,782,1.91,1.1281024222385672,0.9577168525262366
